sat,start,fa,count,mean,dur_us,lon,lat,rate_win,n_core,n_det_hit,det_frac_max,max_mult,n_times,min_dt_us,pi_core_med,pi_bkg_med,pi_ratio,n_pm5ms,pass_rate
GRID-04,2024-03-01T12:05:09.469,1.142e-16,21,0.5833,995.6,149.48,50.26,636,20,4,0.350,3,17,28.61,17,14,1.250,35,853
GRID-04,2024-03-06T16:22:24.699,1.344e-07,31,4.1511,970.8,-93.17,-45.02,4343,29,4,0.345,2,28,7.39,18,19,0.947,83,2114
GRID-04,2024-03-07T03:16:49.641,2.656e-08,17,0.7786,983.2,105.24,-36.49,830,16,4,0.375,1,16,27.18,20,21,0.952,29,635
GRID-04,2024-03-16T17:07:39.505,2.880e-13,25,1.4465,995.9,-108.00,-56.02,1514,24,4,0.417,1,24,6.44,18,19,0.947,51,1477
GRID-04,2024-03-26T12:11:09.566,8.740e-11,30,2.9547,970.8,148.47,50.36,3078,29,4,0.310,2,27,0.95,20,28,0.714,39,732
GRID-04,2024-03-30T02:45:49.572,4.900e-31,28,0.4641,996.6,113.73,-35.19,533,26,4,0.308,2,22,28.85,26,13,2.000,47,535
GRID-04,2024-04-20T04:08:29.542,6.047e-10,23,1.5736,988.5,93.39,-35.80,1647,22,4,0.318,2,21,10.01,14,19,0.763,50,596
GRID-04,2024-04-21T12:08:49.409,6.810e-06,14,0.5993,934.4,149.87,49.54,673,13,4,0.385,2,12,9.06,23,14,1.643,26,746
GRID-04,2024-05-09T18:17:19.479,2.777e-06,26,3.1017,989.9,-124.37,-56.24,3185,25,4,0.360,2,24,2.38,16,15,1.067,56,1260
GRID-07,2024-01-02T11:17:09.810,4.979e-14,27,1.6892,966.1,160.28,49.67,1807,25,4,0.360,2,22,14.78,14,17,0.824,47,936
GRID-07,2024-01-27T22:32:39.874,2.596e-07,20,1.4180,943.4,171.06,-52.25,1562,19,4,0.316,1,19,12.16,39,29,1.345,47,1166
GRID-07,2024-02-03T03:55:09.694,1.692e-07,18,1.0245,919.6,92.17,-47.08,1166,17,4,0.353,1,17,17.88,36,28,1.286,40,1270
GRID-07,2024-02-20T03:26:19.644,3.066e-08,21,1.4639,990.6,98.88,-48.50,1548,21,4,0.286,2,20,6.44,19,25,0.760,40,1073
GRID-07,2024-02-26T17:12:53.910,6.016e-18,28,1.3490,949.9,72.66,47.58,1500,27,4,0.296,3,23,1.67,22,25,0.880,61,1130
GRID-07,2024-03-03T01:24:55.065,1.370e-17,33,2.2633,998.5,130.86,-43.58,2354,32,4,0.344,2,31,3.81,32,36,0.889,77,1080
GRID-07,2024-03-03T04:31:39.725,3.802e-12,24,1.4270,985.9,83.90,-44.69,1508,23,4,0.391,1,23,1.67,40,29,1.379,41,1038
GRID-07,2024-03-03T14:09:57.426,3.875e-06,18,1.2247,986.6,140.30,-60.81,1361,17,4,0.353,1,17,28.85,22,15,1.467,91,1075
GRID-07,2024-03-04T03:46:34.935,9.455e-12,23,1.3071,950.1,98.07,-31.25,1439,22,4,0.409,2,18,2.15,18,22,0.841,45,1003
GRID-07,2024-03-10T13:05:58.215,1.704e-12,34,3.5444,983.7,-4.78,76.24,3702,33,4,0.333,2,29,4.53,17,15,1.133,88,1445
GRID-07,2024-03-12T05:13:58.981,1.508e-06,22,1.9958,958.2,-106.16,43.48,2123,21,4,0.333,1,21,5.25,65,45,1.444,40,1647
GRID-07,2024-03-15T21:00:39.844,2.611e-06,23,2.2964,997.5,-165.26,-52.02,2359,22,4,0.318,1,22,4.05,29,54,0.546,59,2204
GRID-07,2024-04-11T23:03:59.640,7.626e-07,17,0.9466,982.3,165.95,-47.79,1007,16,4,0.375,2,15,29.09,41,28,1.482,38,860
GRID-07,2024-04-12T00:35:59.715,1.391e-12,21,0.9070,991.1,144.23,-43.03,961,20,4,0.400,3,17,8.11,44,43,1.035,34,799
GRID-07,2024-04-22T02:18:14.938,4.312e-06,20,1.6400,975.1,120.40,-36.47,1723,19,4,0.368,2,18,29.09,23,34,0.676,40,872
GRID-07,2024-05-05T12:37:11.267,1.103e-13,19,0.5728,984.4,165.51,-61.49,635,18,4,0.389,1,18,28.61,19,18,1.056,42,1180
GRID-07,2024-05-06T02:11:14.950,5.596e-11,22,1.2419,969.6,122.92,-34.56,1338,20,4,0.550,2,19,3.81,23,30,0.783,51,801
